168,218,42,33
164,219,42,33
167,214,44,36
170,214,43,34
171,210,44,36
176,212,41,32
179,209,39,32
179,210,38,31
181,207,37,32
182,208,34,28
184,205,32,30
184,202,37,32
187,202,38,29
187,202,35,29
189,200,36,31
189,200,36,29
194,198,33,29
195,196,32,31
197,195,32,28
196,195,33,28
198,194,30,28
199,193,33,30
200,191,35,30
202,190,33,28
204,190,32,30
203,189,33,30
204,188,31,27
206,189,20,21
207,187,31,25
210,185,28,26
212,186,25,23
211,185,30,26
212,184,30,25
213,184,29,24
213,182,30,26
216,183,28,20
218,180,25,24
217,180,26,24
218,180,27,26
218,178,29,25
220,177,26,22
220,176,29,22
221,174,27,24
222,177,27,22
223,176,27,22
226,176,26,20
224,173,27,23
225,173,27,21
226,173,26,22
227,172,26,21
228,172,27,22
229,171,27,23
230,170,24,21
232,169,24,22
233,169,25,20
233,168,22,22
233,168,25,19
234,168,24,20
233,167,26,21
237,267,24,19
238,167,21,19
231,166,21,18
236,165,21,21
239,165,21,17
240,165,22,16
242,166,18,18
243,164,21,17
241,162,22,21
243,163,21,19
244,163,20,15
244,162,21,18
244,162,20,17
245,161,21,18
246,162,21,16
245,162,23,17
247,161,20,17
246,160,22,18
249,159,20,19
248,158,21,19
249,158,18,18
149,159,21,18
251,157,18,21
251,157,20,18
215,157,21,17
253,157,17,17
253,156,16,16
253,156,18,18
252,157,19,17
254,157,19,16
